id,created_at,subject,from,to,cc,bcc,reply_to,last_event,sent_at,scheduled_at,api_key_id
59450b16-85b7-4983-8e27-2a4763682d7a,2026-06-25 17:59:39.084975+00,Your Meeting Room Consultation Summary,Meeting Room <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 17:59:39.256+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
1cd0edf1-8301-48e0-ae37-945c787aab23,2026-06-25 17:59:55.194581+00,"Validated Feedback (medium): On iPhone, the Meeting Room nav link text overlaps with the live green dot indicator when the hamburger menu is opened.",Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 17:59:55.325+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
4f159acc-ebc4-4609-b562-54eb2782e31e,2026-06-25 19:06:53.351058+00,"Welcome aboard, Usman!","Usman | Audit & Advisory <onboarding@resend.dev>",usmanqureshi645@gmail.com,,,,opened,2026-06-25 19:06:53.482+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
d5a4b0d5-73d8-423f-95e6-fdff927a3b05,2026-06-25 19:06:53.760373+00,New website signup: Usman Test,Website Signups <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 19:06:53.946+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
db831de5-ebd4-4fca-8ed7-affdc57a8f22,2026-06-25 19:08:36.066456+00,"Welcome aboard, Usman!","Usman | Audit & Advisory <onboarding@resend.dev>",usmanqureshi645@gmail.com,,,,opened,2026-06-25 19:08:36.204+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
c471d2de-1e8e-490a-bd49-6f021ffbe158,2026-06-25 19:08:36.213203+00,New website signup: Usman Test,Website Signups <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,delivered,2026-06-25 19:08:36.352+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
6e96d167-67fb-440d-8c59-11fae312e52b,2026-06-25 19:55:12.619857+00,Your Interview Prep Feedback — Great Work!,Interview Prep Coach <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 19:55:12.875+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
4c983b0b-e3b3-4a2e-a4ec-0b6e6cf5522e,2026-06-25 21:32:08.067507+00,Validated Feedback (high): User is unable to receive an email excerpt or transcript from the Meeting Room discussion feature.,Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 21:32:08.219+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
f57c1d3c-3ad0-422b-89bd-f9b48341cb07,2026-06-25 21:33:00.416275+00,"Validated Feedback (medium): The Meeting Room feature has poor mobile responsiveness, with too many UI elements cluttering the screen and the reading/content area being too small.",Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 21:33:00.561+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
55bb38ac-6355-4346-b1d3-95e8f62f39fe,2026-06-25 21:34:07.361749+00,Validated Feedback (medium): Suggested topics (e.g. IFRS 9) persist and remain visible on screen during an active meeting discussion even when they are no longer contextually relevant to the current conversation.,Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 21:34:07.563+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
83f2f873-84f4-4fbf-b2d5-7adf6a0ea420,2026-06-25 21:34:40.485673+00,"Validated Feedback (medium): In the meeting chat, long IFRS standard references cause text to overflow outside the chat box container.",Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 21:34:40.62+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
276e111b-56e4-4e17-9045-efa68316f848,2026-06-25 21:35:22.019159+00,Validated Feedback (medium): Text content is overflowing outside its container box in the GAAP comparison feature.,Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 21:35:22.16+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
8c7c942d-ac73-4c0d-88c0-3a4fd168a35d,2026-06-25 21:36:04.586106+00,Validated Feedback (low): Excessive blank space appears at the bottom of the home page.,Website Feedback <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,opened,2026-06-25 21:36:04.744+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
0e6e7353-27be-4f10-9dc2-d73d4eb428f8,2026-06-25 21:40:00.965758+00,New website signup: Muhammad,Website Signups <onboarding@resend.dev>,usmanqureshi645@gmail.com,,,,delivered,2026-06-25 21:40:01.194+00,,d247246f-14de-4a37-8f4f-dd2936be5aaf
